Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Performance
Intel Core i3-10105,CPU,2021,14.0,65.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i3-10105F,CPU,2021,14.0,65.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i7-11700K,CPU,2021,14.0,125.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Core i7-11700KF,CPU,2021,14.0,125.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6334,CPU,2021,10.0,165.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Pentium Gold G6505T,CPU,2021,14.0,35.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Core i9-11900K,CPU,2021,14.0,125.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
Intel Core i9-11900KF,CPU,2021,14.0,125.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
Intel Pentium Gold G6405T,CPU,2021,14.0,35.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 5315Y,CPU,2021,10.0,140.0,188.0,1930.0,3200,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8354H,CPU,2021,14.0,205.0,188.0,1930.0,3100,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6346,CPU,2021,10.0,205.0,188.0,1930.0,3100,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6354,CPU,2021,10.0,205.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i3-10105T,CPU,2021,14.0,35.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 5317,CPU,2021,10.0,150.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8360HL,CPU,2021,14.0,225.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i3-10305T,CPU,2021,14.0,35.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8360H,CPU,2021,14.0,225.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6326,CPU,2021,10.0,185.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8380H,CPU,2021,14.0,250.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8380HL,CPU,2021,14.0,250.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Core i5-11600,CPU,2021,14.0,65.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6328HL,CPU,2021,14.0,165.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6328H,CPU,2021,14.0,165.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Xeon Platinum 8362,CPU,2021,10.0,265.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Xeon Gold 6342,CPU,2021,10.0,230.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Xeon Silver 4309Y,CPU,2021,10.0,105.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Core i5-11500,CPU,2021,14.0,65.0,188.0,1930.0,2700,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8376H,CPU,2021,14.0,205.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 6348,CPU,2021,10.0,235.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Core i5-11400,CPU,2021,14.0,65.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Core i5-11400F,CPU,2021,14.0,65.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8376HL,CPU,2021,14.0,205.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8358,CPU,2021,10.0,250.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8358P,CPU,2021,10.0,240.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8368Q,CPU,2021,10.0,270.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Core i9-11900,CPU,2021,14.0,65.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 5318H,CPU,2021,14.0,150.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-11700,CPU,2021,14.0,65.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8353H,CPU,2021,14.0,150.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-11700F,CPU,2021,14.0,65.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8352V,CPU,2021,10.0,195.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Core i9-11900F,CPU,2021,14.0,65.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 5320H,CPU,2021,14.0,150.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 6312U,CPU,2021,10.0,185.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8351N,CPU,2021,10.0,225.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Silver 4314,CPU,2021,10.0,135.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 6336Y,CPU,2021,10.0,185.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8368,CPU,2021,10.0,270.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8360Y,CPU,2021,10.0,250.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8352M,CPU,2021,10.0,185.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 5320T,CPU,2021,10.0,150.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Silver 4316,CPU,2021,10.0,150.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8380,CPU,2021,10.0,270.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Silver 4310T,CPU,2021,10.0,105.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 6314U,CPU,2021,10.0,205.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 6348H,CPU,2021,14.0,165.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 5320,CPU,2021,10.0,185.0,188.0,1930.0,2200,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Platinum 8352S,CPU,2021,10.0,205.0,188.0,1930.0,2200,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 6338N,CPU,2021,10.0,185.0,188.0,1930.0,2200,Intel,Intel,2135.0,364.0,Medium
Intel Xeon Gold 6338T,CPU,2021,10.0,165.0,188.0,1930.0,2100,Intel,Intel,2135.0,364.0,Low
Intel Xeon Silver 4310,CPU,2021,10.0,120.0,188.0,1930.0,2100,Intel,Intel,2135.0,364.0,Low
Intel Xeon Gold 5318S,CPU,2021,10.0,165.0,188.0,1930.0,2100,Intel,Intel,2135.0,364.0,Low
Intel Xeon Gold 5318N,CPU,2021,10.0,150.0,188.0,1930.0,2100,Intel,Intel,2135.0,364.0,Low
Intel Xeon Gold 5318Y,CPU,2021,10.0,165.0,188.0,1930.0,2100,Intel,Intel,2135.0,364.0,Low
Intel Xeon Gold 6330,CPU,2021,10.0,205.0,188.0,1930.0,2000,Intel,Intel,2135.0,364.0,Low
Intel Xeon Gold 6330H,CPU,2021,14.0,150.0,188.0,1930.0,2000,Intel,Intel,2135.0,364.0,Low
Intel Core i5-11600T,CPU,2021,14.0,35.0,188.0,1930.0,1700,Intel,Intel,2135.0,364.0,Low
NVIDIA CMP 30HX,GPU,2021,12.0,125.0,284.0,6600.0,1530,TSMC,NVIDIA,5027.0,157.1,High
Intel Core i9-11900T,CPU,2021,14.0,35.0,188.0,1930.0,1500,Intel,Intel,2135.0,364.0,Low
Intel Core i5-11500T,CPU,2021,14.0,35.0,188.0,1930.0,1500,Intel,Intel,2135.0,364.0,Low
Intel Core i7-11700T,CPU,2021,14.0,35.0,188.0,1930.0,1400,Intel,Intel,2135.0,364.0,Low
Intel Core i5-11400T,CPU,2021,14.0,35.0,188.0,1930.0,1300,Intel,Intel,2135.0,364.0,Low
NVIDIA GeForce GT 1010,GPU,2021,14.0,30.0,74.0,1800.0,1228,Samsung,NVIDIA,751.6,31.32,High
NVIDIA GeForce RTX 3050 Ti Max-Q,GPU,2021,8.0,81.0,188.0,1930.0,735,Samsung,NVIDIA,5299.0,82.8,High
NVIDIA GeForce RTX 3050 Max-Q,GPU,2021,8.0,81.0,188.0,1930.0,712,Samsung,NVIDIA,4329.0,67.65,Medium
Intel UHD Graphics 750,GPU,2021,14.0,15.0,188.0,1930.0,300,Intel,Intel,665.6,166.4,Low
Intel UHD Graphics,GPU,2021,14.0,15.0,188.0,1930.0,300,Intel,Intel,230.4,57.6,Low
Intel UHD Graphics P750,GPU,2021,14.0,15.0,188.0,1930.0,300,Intel,Intel,460.8,115.2,Low
Intel UHD Graphics 730,GPU,2021,14.0,15.0,188.0,1930.0,300,Intel,Intel,499.2,124.8,Low
Intel Core i3-10320,CPU,2020,14.0,91.0,188.0,1930.0,3800,Intel,Intel,2135.0,364.0,High
Intel Core i7-10700K,CPU,2020,14.0,125.0,188.0,1930.0,3800,Intel,Intel,2135.0,364.0,High
Intel Core i7-10700KF,CPU,2020,14.0,125.0,188.0,1930.0,3800,Intel,Intel,2135.0,364.0,High
Intel Core i3-10300,CPU,2020,14.0,62.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i9-10900KF,CPU,2020,14.0,125.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i9-10900K,CPU,2020,14.0,125.0,206.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i3-10100,CPU,2020,14.0,65.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Core i9-10850K,CPU,2020,14.0,125.0,206.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
AMD Athlon Gold PRO 3150GE,CPU,2020,12.0,35.0,188.0,1930.0,3500,GF,AMD,2135.0,364.0,High
Intel Celeron G5920,CPU,2020,14.0,58.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
AMD Athlon Gold 3150GE,CPU,2020,12.0,35.0,188.0,1930.0,3500,GF,AMD,2135.0,364.0,High
AMD Athlon Gold 3150G,CPU,2020,12.0,65.0,188.0,1930.0,3500,GF,AMD,2135.0,364.0,High
AMD Athlon Gold PRO 3150G,CPU,2020,12.0,65.0,188.0,1930.0,3500,GF,AMD,2135.0,364.0,High
Intel Celeron G5900,CPU,2020,14.0,58.0,188.0,1930.0,3400,Intel,Intel,2135.0,364.0,High
AMD Athlon Silver PRO 3125GE,CPU,2020,12.0,35.0,188.0,1930.0,3400,GF,AMD,2135.0,364.0,High
AMD Athlon Silver 3050GE,CPU,2020,12.0,35.0,188.0,1930.0,3400,GF,AMD,2135.0,364.0,High
Intel Core i5-10600,CPU,2020,14.0,65.0,188.0,1930.0,3300,Intel,Intel,2135.0,364.0,High
Intel Core i5-10500,CPU,2020,14.0,65.0,188.0,1930.0,3100,Intel,Intel,2135.0,364.0,High
Intel Core i3-1115G4,CPU,2020,10.0,28.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i7-1185G7,CPU,2020,10.0,28.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i7-10700,CPU,2020,14.0,65.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Core i5-10400,CPU,2020,14.0,65.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Core i7-10700F,CPU,2020,14.0,65.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Core i5-10400F,CPU,2020,14.0,65.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Core i7-1165G7,CPU,2020,10.0,28.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Core i9-10900F,CPU,2020,14.0,65.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Core i9-10900,CPU,2020,14.0,65.0,188.0,1930.0,2800,Intel,Intel,2135.0,364.0,High
Intel Core i9-10800F,CPU,2020,14.0,65.0,188.0,1930.0,2700,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-10850H,CPU,2020,14.0,45.0,188.0,1930.0,2700,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-10750H,CPU,2020,14.0,45.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Core i5-10400H,CPU,2020,14.0,45.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Core i5-1145G7,CPU,2020,10.0,28.0,188.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
AMD Ryzen 3 3250U,CPU,2020,12.0,15.0,210.0,4940.0,2600,GF,AMD,2135.0,364.0,Medium
Intel Core i5-10300H,CPU,2020,14.0,45.0,188.0,1930.0,2500,Intel,Intel,2135.0,364.0,Medium
Intel Core i5-10200H,CPU,2020,14.0,45.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Core i9-10980HK,CPU,2020,14.0,45.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-10885H,CPU,2020,14.0,45.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Core i5-1135G7,CPU,2020,10.0,28.0,188.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-10870H,CPU,2020,14.0,45.0,188.0,1930.0,2200,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-10875H,CPU,2020,14.0,45.0,188.0,1930.0,2100,Intel,Intel,2135.0,364.0,Low
Intel Core i3-1125G4,CPU,2020,10.0,28.0,188.0,1930.0,2000,Intel,Intel,2135.0,364.0,Low
Intel Core i3-1110G4,CPU,2020,10.0,15.0,188.0,1930.0,1800,Intel,Intel,2135.0,364.0,Low
Intel Core i7-10610U,CPU,2020,14.0,25.0,188.0,1930.0,1800,Intel,Intel,2135.0,364.0,Low
NVIDIA GeForce MX330,GPU,2020,14.0,10.0,74.0,1800.0,1531,Samsung,NVIDIA,1224.0,38.26,High
NVIDIA GeForce GTX 1650 TU106,GPU,2020,12.0,90.0,445.0,10800.0,1410,TSMC,NVIDIA,2849.0,89.04,High
NVIDIA GeForce GTX 1650 GDDR6,GPU,2020,12.0,75.0,200.0,4700.0,1410,TSMC,NVIDIA,2849.0,89.04,High
NVIDIA Quadro T1000 Mobile GDDR6,GPU,2020,12.0,50.0,200.0,4700.0,1395,TSMC,NVIDIA,2957.0,92.4,High
NVIDIA GeForce MX450 30.5W 10Gbps,GPU,2020,12.0,31.0,200.0,4700.0,1395,TSMC,NVIDIA,2822.0,88.2,High
NVIDIA GeForce GTX 1650 Mobile,GPU,2020,12.0,50.0,200.0,4700.0,1380,TSMC,NVIDIA,3103.0,96.96,High
NVIDIA GeForce MX350,GPU,2020,14.0,20.0,132.0,3300.0,1354,Samsung,NVIDIA,1879.0,58.72,High
NVIDIA GeForce GTX 1650 Ti Mobile,GPU,2020,12.0,50.0,284.0,6600.0,1350,TSMC,NVIDIA,3041.0,95.04,High
NVIDIA GeForce GTX 1650 Ti Mobile,GPU,2020,12.0,50.0,200.0,4700.0,1350,TSMC,NVIDIA,3041.0,95.04,High
Intel Core i7-1160G7,CPU,2020,10.0,15.0,188.0,1930.0,1200,Intel,Intel,2135.0,364.0,Low
Intel Core i7-10810U,CPU,2020,14.0,25.0,188.0,1930.0,1100,Intel,Intel,2135.0,364.0,Low
Intel Core i5-1130G7,CPU,2020,10.0,15.0,188.0,1930.0,1100,Intel,Intel,2135.0,364.0,Low
Intel Core i3-1120G4,CPU,2020,10.0,15.0,188.0,1930.0,1100,Intel,Intel,2135.0,364.0,Low
NVIDIA GeForce MX450 30.5W 8Gbps,GPU,2020,12.0,31.0,200.0,4700.0,1035,TSMC,NVIDIA,2285.0,71.4,High
NVIDIA GeForce GTX 1650 Ti Max-Q,GPU,2020,12.0,50.0,200.0,4700.0,1035,TSMC,NVIDIA,2458.0,76.8,High
NVIDIA GeForce RTX 2060 Max-Q,GPU,2020,12.0,65.0,445.0,10800.0,975,TSMC,NVIDIA,4550.0,142.2,High
AMD AeroBox GPU,GPU,2020,16.0,100.0,188.0,1930.0,935,TSMC,AMD,1765.0,110.3,High
NVIDIA GeForce GTX 1650 Max-Q,GPU,2020,12.0,50.0,200.0,4700.0,930,TSMC,NVIDIA,2304.0,72.0,High
NVIDIA GeForce RTX 2070 Max-Q Refresh,GPU,2020,12.0,115.0,445.0,10800.0,900,TSMC,NVIDIA,5184.0,162.0,High
NVIDIA Jetson Xavier NX GPU,GPU,2020,12.0,15.0,350.0,9000.0,854,TSMC,NVIDIA,1058.0,528.8,High
NVIDIA GeForce MX350,GPU,2020,14.0,20.0,132.0,3300.0,747,Samsung,NVIDIA,1199.0,37.48,High
NVIDIA GeForce MX450 25W,GPU,2020,12.0,25.0,200.0,4700.0,720,TSMC,NVIDIA,1667.0,52.08,Medium
Intel UHD Graphics P630,GPU,2020,14.0,15.0,188.0,1930.0,350,Intel,Intel,460.8,115.2,Low
Intel UHD Graphics 630,GPU,2020,14.0,15.0,188.0,1930.0,350,Intel,Intel,460.8,115.2,Low
Intel UHD Graphics 610,GPU,2020,14.0,15.0,188.0,1930.0,350,Intel,Intel,201.6,50.4,Low
Intel UHD Graphics 630,GPU,2020,14.0,15.0,188.0,1930.0,350,Intel,Intel,423.2,105.8,Low
Intel UHD Graphics P630,GPU,2020,14.0,15.0,188.0,1930.0,350,Intel,Intel,460.8,115.2,Low
AMD Atari VCS 400 GPU,GPU,2020,14.0,15.0,210.0,4940.0,300,GF,AMD,461.2,28.82,Low
Intel Iris Xe Graphics G4,GPU,2020,10.0,15.0,146.0,1930.0,300,Intel,Intel,844.8,211.2,Low
AMD Radeon Vega 3 Mobile,GPU,2020,14.0,15.0,210.0,4940.0,300,GF,AMD,384.0,24.0,Low
Intel Iris Xe Graphics G7 96EU,GPU,2020,10.0,15.0,146.0,1930.0,300,Intel,Intel,1690.0,422.4,Low
AMD Atari VCS 800 GPU,GPU,2020,14.0,15.0,210.0,4940.0,300,GF,AMD,461.2,28.82,Low
Intel Iris Plus Graphics G7,GPU,2020,10.0,15.0,188.0,1930.0,300,Intel,Intel,1075.0,268.8,Low
Intel Iris Xe Graphics G7 80EU,GPU,2020,10.0,15.0,146.0,1930.0,300,Intel,Intel,1408.0,352.0,Low
Intel Core i3-9300,CPU,2019,14.0,62.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
Intel Core i3-9320,CPU,2019,14.0,62.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
AMD Ryzen 7 2700X 50th Anniversary,CPU,2019,12.0,105.0,192.0,4800.0,3700,GF,AMD,2135.0,364.0,High
Intel Core i9-10900X,CPU,2019,14.0,165.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
AMD Ryzen 5 3400G,CPU,2019,12.0,65.0,210.0,4940.0,3700,GF,AMD,2135.0,364.0,High
Intel Core i5-9600KF,CPU,2019,14.0,95.0,188.0,1930.0,3700,Intel,Intel,2135.0,364.0,High
AMD Ryzen 3 3200G,CPU,2019,12.0,65.0,210.0,49.0,3600,GF,AMD,2135.0,364.0,High
Intel Core i3-9100F,CPU,2019,14.0,65.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Core i9-9900KF,CPU,2019,14.0,95.0,180.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
Intel Core i7-9700KF,CPU,2019,14.0,95.0,188.0,1930.0,3600,Intel,Intel,2135.0,364.0,High
AMD Athlon 3000G,CPU,2019,14.0,35.0,148.0,4800.0,3500,Unknown,AMD,2135.0,364.0,High
Intel Core i9-10920X,CPU,2019,14.0,165.0,188.0,1930.0,3500,Intel,Intel,2135.0,364.0,High
Intel Core i9-10940X,CPU,2019,14.0,165.0,188.0,1930.0,3300,Intel,Intel,2135.0,364.0,High
Intel Core i9-9900,CPU,2019,14.0,65.0,180.0,1930.0,3100,Intel,Intel,2135.0,364.0,High
Intel Core i5-9500F,CPU,2019,14.0,65.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i7-9700F,CPU,2019,14.0,65.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i7-9700,CPU,2019,14.0,65.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i9-10980XE,CPU,2019,14.0,165.0,188.0,1930.0,3000,Intel,Intel,2135.0,364.0,High
Intel Core i5-9400F,CPU,2019,14.0,65.0,188.0,1930.0,2900,Intel,Intel,2135.0,364.0,High
Intel Core i7-9750H,CPU,2019,14.0,45.0,149.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-9850H,CPU,2019,14.0,45.0,149.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
Intel Core i7-9750HF,CPU,2019,14.0,45.0,149.0,1930.0,2600,Intel,Intel,2135.0,364.0,Medium
AMD Ryzen 3 3200U,CPU,2019,12.0,15.0,210.0,4940.0,2600,GF,AMD,2135.0,364.0,Medium
AMD Athlon 300U,CPU,2019,14.0,15.0,188.0,1930.0,2400,GF,AMD,2135.0,364.0,Medium
AMD Athlon PRO 300U,CPU,2019,14.0,15.0,188.0,1930.0,2400,GF,AMD,2135.0,364.0,Medium
Intel Core i9-9980HK,CPU,2019,14.0,45.0,149.0,1930.0,2400,Intel,Intel,2135.0,364.0,Medium
AMD Ryzen 7 PRO 3700U,CPU,2019,12.0,15.0,210.0,4940.0,2300,GF,AMD,2135.0,364.0,Medium
Intel Core i7-1068G7,CPU,2019,10.0,28.0,188.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
AMD Ryzen 7 3780U,CPU,2019,12.0,15.0,210.0,4940.0,2300,GF,AMD,2135.0,364.0,Medium
Intel Xeon Platinum 9222,CPU,2019,14.0,250.0,188.0,8000.0,2300,Intel,Intel,2135.0,364.0,Medium
AMD Ryzen 7 3700U,CPU,2019,12.0,15.0,210.0,4940.0,2300,GF,AMD,2135.0,364.0,Medium
Intel Core i9-9880H,CPU,2019,14.0,45.0,149.0,1930.0,2300,Intel,Intel,2135.0,364.0,Medium
AMD Ryzen 7 3750H,CPU,2019,12.0,35.0,210.0,4940.0,2300,GF,AMD,2135.0,364.0,Medium
Intel Xeon Platinum 9221,CPU,2019,14.0,250.0,188.0,8000.0,2100,Intel,Intel,2135.0,364.0,Low
AMD Ryzen 5 3580U,CPU,2019,12.0,15.0,210.0,4940.0,2100,GF,AMD,2135.0,364.0,Low
AMD Ryzen 5 3550H,CPU,2019,12.0,35.0,210.0,4940.0,2100,GF,AMD,2135.0,364.0,Low
AMD Ryzen 3 3300U,CPU,2019,12.0,15.0,210.0,4940.0,2100,GF,AMD,2135.0,364.0,Low
AMD Ryzen 3 PRO 3300U,CPU,2019,12.0,15.0,210.0,4940.0,2100,GF,AMD,2135.0,364.0,Low
AMD Ryzen 5 3500U,CPU,2019,12.0,15.0,210.0,4940.0,2100,GF,AMD,2135.0,364.0,Low
AMD Ryzen 5 PRO 3500U,CPU,2019,12.0,15.0,210.0,4940.0,2100,GF,AMD,2135.0,364.0,Low
AMD Ryzen 5 PRO 2500U,CPU,2019,14.0,15.0,246.0,1930.0,2000,GF,AMD,2135.0,364.0,Low
AMD Ryzen 3 PRO 2300U,CPU,2019,14.0,15.0,246.0,1930.0,2000,GF,AMD,2135.0,364.0,Low
Intel Core i7-10510U,CPU,2019,14.0,25.0,188.0,1930.0,1800,Intel,Intel,2135.0,364.0,Low
AMD A6-9220C SoC,CPU,2019,28.0,6.0,124.0,1200.0,1800,Unknown,AMD,2135.0,364.0,Low
AMD A6-9120C SoC,CPU,2019,28.0,6.0,124.0,1200.0,1600,Unknown,AMD,2135.0,364.0,Low
Intel Core i5-10210U,CPU,2019,14.0,25.0,188.0,1930.0,1600,Intel,Intel,2135.0,364.0,Low
NVIDIA Quadro T2000 Mobile,GPU,2019,12.0,60.0,200.0,4700.0,1575,TSMC,NVIDIA,3656.0,114.2,High
NVIDIA GeForce GTX 1650 SUPER,GPU,2019,12.0,100.0,284.0,6600.0,1530,TSMC,NVIDIA,4416.0,138.0,High
NVIDIA GeForce GTX 1660,GPU,2019,12.0,120.0,284.0,6600.0,1530,TSMC,NVIDIA,5027.0,157.1,High
NVIDIA GeForce GTX 1660 SUPER,GPU,2019,12.0,125.0,284.0,6600.0,1530,TSMC,NVIDIA,5027.0,157.1,High
NVIDIA GeForce MX250,GPU,2019,14.0,25.0,74.0,1800.0,1519,Samsung,NVIDIA,1215.0,37.97,High
NVIDIA GeForce MX230,GPU,2019,14.0,10.0,74.0,1800.0,1519,Samsung,NVIDIA,783.9,24.5,High
NVIDIA GeForce GTX 1660 Ti,GPU,2019,12.0,120.0,284.0,6600.0,1500,TSMC,NVIDIA,5437.0,169.9,High
NVIDIA GeForce GTX 1650,GPU,2019,12.0,75.0,200.0,4700.0,1485,TSMC,NVIDIA,2984.0,93.24,High
NVIDIA GeForce MX150 GP107,GPU,2019,14.0,25.0,132.0,3300.0,1469,Samsung,NVIDIA,1177.0,36.77,High
NVIDIA GeForce GTX 1660 Ti Mobile,GPU,2019,12.0,81.0,284.0,6600.0,1455,TSMC,NVIDIA,4884.0,152.6,High
NVIDIA Quadro T1000 Mobile,GPU,2019,12.0,50.0,200.0,4700.0,1395,TSMC,NVIDIA,2607.0,81.48,High
NVIDIA GeForce GTX 1650 Mobile,GPU,2019,12.0,50.0,200.0,4700.0,1395,TSMC,NVIDIA,3195.0,99.84,High
NVIDIA GeForce GTX 1050 Mobile 3 GB,GPU,2019,14.0,75.0,132.0,3300.0,1366,Samsung,NVIDIA,2215.0,69.22,High
NVIDIA Quadro P520 Mobile,GPU,2019,14.0,18.0,74.0,1800.0,1303,Samsung,NVIDIA,1147.0,35.83,High
Intel Core i7-1065G7,CPU,2019,10.0,25.0,188.0,1930.0,1300,Intel,Intel,2135.0,364.0,Low
AMD Radeon Pro WX 3200,GPU,2019,14.0,65.0,103.0,2200.0,1295,GF,AMD,1658.0,103.6,High
NVIDIA P106M,GPU,2019,16.0,75.0,200.0,4400.0,1291,TSMC,NVIDIA,2974.0,92.95,High
NVIDIA Quadro P2000 Mobile,GPU,2019,16.0,75.0,200.0,4400.0,1291,TSMC,NVIDIA,2974.0,92.95,High
AMD Radeon RX 560X Mobile,GPU,2019,14.0,65.0,123.0,3000.0,1223,GF,AMD,2192.0,137.0,High
Intel Core i3-1005G1,CPU,2019,10.0,25.0,188.0,1930.0,1200,Intel,Intel,2135.0,364.0,Low
Intel Core i5-1035G7,CPU,2019,10.0,25.0,188.0,1930.0,1200,Intel,Intel,2135.0,364.0,Low
